Report_title,Reporter_name,Incident_date,Day,time,Place,City,District,street,loot,loot_description,is_camera,loot_methodology,estemated_loot_value,Accused,weapon_existens,Accuseds_number,Accused_description,skin_colour,Nationality,Age,known_vehicle,accused_body,Report_content
حادثة سرقة شقة,تركي الجريش,02/03/2021,Tuesday,23:51,شقة,الرياض, التعاون, التخصصي,سيارة,"النوع كوبيه, اللون أسود",نعم,تسلق الجدار," $3,692.00 ",مجهول,لا,معروف,نعم,حنطية,صومالي ,27-32,نعم,,أنا تركي الجريش أرغب بالتبليغ عن حادثة سرقة شقة تمت السرقة في تاريخ 44257 الوقت 23:51 في حي التعاون شارع التخصصي تمت سرقة سيارة بقيمة 3692 ريال سعودي
حادثة سرقة شقة,محمد الخميسي,22/09/2021,Wednesday,21:38,شقة,الرياض, المعيزلية, الأمير سعود بن محمد بن مقرن,مبلغ مادي,المبلغ 41845,نعم,وجود مفتاح ," $41,845.00 ",مشكوك فيه,لا,مجهول,نعم,بيضاء,غير معروف,21-26,نعم,,أنا محمد الخميسي أرغب بالتبليغ عن حادثة سرقة شقة تمت السرقة في تاريخ 44461 الوقت 21:38 في حي المعيزلية شارع الأمير سعود بن محمد بن مقرن تمت سرقة مبلغ مادي بقيمة 41845 ريال سعودي
حادثة سرقة قصر,عبدالرحمن المالك,07/10/2021,Thursday,20:38,قصر,الرياض, الملك عبد الله, تركي الأول,سيارة,"النوع سيدان, اللون أبيض",لا,غير معروف," $31,332.00 ",معروف,نعم,معروف,نعم,سمراء,غير معروف,50+,لا,,أنا عبدالرحمن المالك أرغب بالتبليغ عن حادثة سرقة قصر تمت السرقة في تاريخ 44476 الوقت 20:38 في حي الملك عبد الله شارع تركي الأول تمت سرقة سيارة بقيمة 31332 ريال سعودي
حادثة سرقة قصر,هند القعود,29/11/2021,Monday,16:57,قصر,الرياض, أم الحمام الشرقي, الأمير بدر بن عبد العزيز,مبلغ مادي,المبلغ 28175,نعم,وجود مفتاح ," $28,175.00 ",مشكوك فيه,لا,مجهول,لا,سمراء,غير معروف,33-50,نعم,,أنا هند القعود أرغب بالتبليغ عن حادثة سرقة قصر تمت السرقة في تاريخ 44529 الوقت 16:57 في حي أم الحمام الشرقي شارع الأمير بدر بن عبد العزيز تمت سرقة مبلغ مادي بقيمة 28175 ريال سعودي
حادثة سرقة قصر,منى  القطحاني,25/07/2021,Sunday,18:08,قصر,الرياض, النفل, خريص,ذهب,"النوع عقد, العيار ",نعم,غير معروف," $96,096.00 ",معروف,نعم,مجهول,نعم,حنطية,صومالي ,50+,لا,,أنا منى  القطحاني أرغب بالتبليغ عن حادثة سرقة قصر تمت السرقة في تاريخ 44402 الوقت 18:08 في حي النفل شارع خريص تمت سرقة ذهب بقيمة 96096 ريال سعودي
حادثة سرقة استراحة,تركي العتيبي,13/03/2021,Saturday,15:12,استراحة,الرياض, العارض, الملك خالد,جهاز منزلي,"النوع تلفاز, اللون رصاصي",لا,غير معروف," $55,377.00 ",معروف,نعم,مجهول,لا,سمراء,باكستاني,21-26,نعم,,أنا تركي العتيبي أرغب بالتبليغ عن حادثة سرقة استراحة تمت السرقة في تاريخ 44268 الوقت 15:12 في حي العارض شارع الملك خالد تمت سرقة جهاز منزلي بقيمة 55377 ريال سعودي
حادثة سرقة شقة,في العتيبي,11/03/2021,Thursday,11:51,شقة,الرياض, الغدير, الأمير سعود بن محمد بن مقرن,سيارة,"النوع هاتش باك, اللون رصاصي",لا,غير معروف," $71,972.00 ",مشكوك فيه,نعم,مجهول,نعم,بيضاء,سعودي,27-32,نعم,,أنا في العتيبي أرغب بالتبليغ عن حادثة سرقة شقة تمت السرقة في تاريخ 44266 الوقت 11:51 في حي الغدير شارع الأمير سعود بن محمد بن مقرن تمت سرقة سيارة بقيمة 71972 ريال سعودي
حادثة سرقة شقة,ندى النفيسة,27/01/2022,Thursday,15:24,شقة,الرياض, العليا, عثمان بن عفان,مبلغ مادي,المبلغ 71989,لا,غير معروف," $71,989.00 ",مجهول,لا,معروف,نعم,سمراء,غير معروف,27-32,لا,,أنا ندى النفيسة أرغب بالتبليغ عن حادثة سرقة شقة تمت السرقة في تاريخ 44588 الوقت 15:24 في حي العليا شارع عثمان بن عفان تمت سرقة مبلغ مادي بقيمة 71989 ريال سعودي
حادثة سرقة استراحة,لطيفة المشيقح,30/01/2021,Saturday,15:28,استراحة,الرياض, المعذر, أبي بكر الصديق (الرياض),ذهب,"النوع سبيكة, العيار 18",نعم,وجود مفتاح ," $31,575.00 ",مشكوك فيه,نعم,مجهول,لا,سمراء,غير معروف,33-50,نعم,,أنا لطيفة المشيقح أرغب بالتبليغ عن حادثة سرقة استراحة تمت السرقة في تاريخ 44226 الوقت 15:28 في حي المعذر شارع أبي بكر الصديق (الرياض) تمت سرقة ذهب بقيمة 31575 ريال سعودي
حادثة سرقة استراحة,لطيفة المالك,06/06/2021,Sunday,17:00,استراحة,الرياض, غرناطة, الدائري (الرياض),مبلغ مادي,المبلغ 44085,لا,غير معروف," $44,085.00 ",مشكوك فيه,لا,مجهول,نعم,بيضاء,غير معروف,21-26,نعم,,أنا لطيفة المالك أرغب بالتبليغ عن حادثة سرقة استراحة تمت السرقة في تاريخ 44353 الوقت 17:00 في حي غرناطة شارع الدائري (الرياض) تمت سرقة مبلغ مادي بقيمة 44085 ريال سعودي
حادثة سرقة استراحة,منى  الصفيان,17/01/2022,Monday,20:51,استراحة,الرياض, الروضة, الحسن بن علي,ذهب,"النوع خاتم, العيار 14",لا,غير معروف," $69,512.00 ",مجهول,لا,معروف,لا,حنطية,صومالي ,27-32,لا,,أنا منى  الصفيان أرغب بالتبليغ عن حادثة سرقة استراحة تمت السرقة في تاريخ 44578 الوقت 20:51 في حي الروضة شارع الحسن بن علي تمت سرقة ذهب بقيمة 69512 ريال سعودي
حادثة سرقة شقة,عبدالرحمن الصفيان,14/03/2021,Sunday,23:21,شقة,الرياض, الرمال, الملك عبد الله,سيارة,"النوع كوبيه, اللون أزرق",لا,كسر الباب," $53,315.00 ",مجهول,نعم,معروف,نعم,بيضاء,غير معروف,33-50,نعم,,أنا عبدالرحمن الصفيان أرغب بالتبليغ عن حادثة سرقة شقة تمت السرقة في تاريخ 44269 الوقت 23:21 في حي الرمال شارع الملك عبد الله تمت سرقة سيارة بقيمة 53315 ريال سعودي
حادثة سرقة قصر,سعد الشلهوب,22/07/2021,Thursday,7:12,قصر,الرياض, الملك فهد, المغيرة بن شعبة,مبلغ مادي,المبلغ 9570,نعم,غير معروف," $9,570.00 ",مشكوك فيه,لا,معروف,لا,سمراء,غير معروف,15-20,لا,,أنا سعد الشلهوب أرغب بالتبليغ عن حادثة سرقة قصر تمت السرقة في تاريخ 44399 الوقت 07:12 في حي الملك فهد شارع المغيرة بن شعبة تمت سرقة مبلغ مادي بقيمة 9570 ريال سعودي
حادثة سرقة استراحة,هاجر الخميسي,14/12/2021,Tuesday,3:11,استراحة,الرياض, الورود, تركي الأول,سيارة,"النوع SUV , اللون أزرق",نعم,تسلق الجدار," $74,488.00 ",معروف,نعم,معروف,نعم,حنطية,غير معروف,27-32,نعم,,أنا هاجر الخميسي أرغب بالتبليغ عن حادثة سرقة استراحة تمت السرقة في تاريخ 44544 الوقت 03:11 في حي الورود شارع تركي الأول تمت سرقة سيارة بقيمة 74488 ريال سعودي
حادثة سرقة منزل,نورة الجريش,30/12/2021,Thursday,2:09,منزل,الرياض, الروضة, المغيرة بن شعبة,ذهب,"النوع خاتم, العيار 22",نعم,غير معروف," $53,918.00 ",مشكوك فيه,نعم,مجهول,لا,بيضاء,صومالي ,27-32,نعم,,أنا نورة الجريش أرغب بالتبليغ عن حادثة سرقة منزل تمت السرقة في تاريخ 44560 الوقت 02:09 في حي الروضة شارع المغيرة بن شعبة تمت سرقة ذهب بقيمة 53918 ريال سعودي
حادثة سرقة منزل,في الشلهوب,21/02/2021,Sunday,22:57,منزل,الرياض, الروضة, عثمان بن عفان,ذهب,"النوع عقد, العيار 22",لا,غير معروف," $95,980.00 ",معروف,نعم,معروف,نعم,سمراء,باكستاني,33-50,نعم,,أنا في الشلهوب أرغب بالتبليغ عن حادثة سرقة منزل تمت السرقة في تاريخ 44248 الوقت 22:57 في حي الروضة شارع عثمان بن عفان تمت سرقة ذهب بقيمة 95980 ريال سعودي
حادثة سرقة قصر,نورة القعود,02/08/2021,Monday,8:06,قصر,الرياض, الملك عبد الله, الأمير سلطان بن عبد العزيز,ذهب,"النوع عقد, العيار 22",نعم,غير معروف," $42,298.00 ",معروف,نعم,معروف,لا,حنطية,غير معروف,50+,لا,,أنا نورة القعود أرغب بالتبليغ عن حادثة سرقة قصر تمت السرقة في تاريخ 44410 الوقت 08:06 في حي الملك عبد الله شارع الأمير سلطان بن عبد العزيز تمت سرقة ذهب بقيمة 42298 ريال سعودي
حادثة سرقة منزل,فاطمة الرصيص,27/03/2021,Saturday,23:20,منزل,الرياض, السليمانية, الأمير سلمان بن محمد بن سعود,جهاز منزلي,"النوع تلفاز, اللون أصفر",نعم,غير معروف," $44,941.00 ",مشكوك فيه,نعم,مجهول,لا,بيضاء,باكستاني,27-32,لا,,أنا فاطمة الرصيص أرغب بالتبليغ عن حادثة سرقة منزل تمت السرقة في تاريخ 44282 الوقت 23:20 في حي السليمانية شارع الأمير سلمان بن محمد بن سعود تمت سرقة جهاز منزلي بقيمة 44941 ريال سعودي
حادثة سرقة استراحة,هند العقيل,28/08/2021,Saturday,14:56,استراحة,الرياض, الخليج, التخصصي,جهاز منزلي,"النوع غسالة, اللون أحمر",نعم,كسر الباب," $22,252.00 ",مجهول,لا,مجهول,نعم,سمراء,صومالي ,33-50,نعم,,أنا هند العقيل أرغب بالتبليغ عن حادثة سرقة استراحة تمت السرقة في تاريخ 44436 الوقت 14:56 في حي الخليج شارع التخصصي تمت سرقة جهاز منزلي بقيمة 22252 ريال سعودي
حادثة سرقة منزل,محمد العتيبي,20/02/2021,Saturday,13:00,منزل,الرياض, الورود, خالد بن الوليد,مبلغ مادي,المبلغ 54770,لا,غير معروف," $54,770.00 ",مجهول,نعم,معروف,لا,بيضاء,غير معروف,21-26,نعم,,أنا محمد العتيبي أرغب بالتبليغ عن حادثة سرقة منزل تمت السرقة في تاريخ 44247 الوقت 13:00 في حي الورود شارع خالد بن الوليد تمت سرقة مبلغ مادي بقيمة 54770 ريال سعودي
حادثة سرقة قصر,نايف القعود,22/01/2021,Friday,18:27,قصر,الرياض, الملك عبد العزيز, الأمير بدر بن عبد العزيز,جهاز منزلي,"النوع غسالة, اللون برتقالي",نعم,تسلق الجدار," $63,368.00 ",مشكوك فيه,لا,مجهول,نعم,بيضاء,غير معروف,33-50,نعم,,أنا نايف القعود أرغب بالتبليغ عن حادثة سرقة قصر تمت السرقة في تاريخ 44218 الوقت 18:27 في حي الملك عبد العزيز شارع الأمير بدر بن عبد العزيز تمت سرقة جهاز منزلي بقيمة 63368 ريال سعودي
حادثة سرقة استراحة,منى  الخميسي,14/02/2021,Sunday,1:33,استراحة,الرياض, الحمراء, الأمير بدر بن عبد العزيز,جهاز منزلي,"النوع غسالة, اللون كحلي",نعم,غير معروف," $53,328.00 ",مشكوك فيه,نعم,مجهول,لا,حنطية,مصري,50+,لا,,أنا منى  الخميسي أرغب بالتبليغ عن حادثة سرقة استراحة تمت السرقة في تاريخ 44241 الوقت 01:33 في حي الحمراء شارع الأمير بدر بن عبد العزيز تمت سرقة جهاز منزلي بقيمة 53328 ريال سعودي
حادثة سرقة شقة,هاجر الخميسي,01/03/2021,Monday,9:45,شقة,الرياض, الملك فيصل, تركي الأول,جهاز منزلي,"النوع تلفاز, اللون رصاصي",لا,كسر الباب," $37,032.00 ",مجهول,لا,مجهول,نعم,سمراء,غير معروف,15-20,لا,,أنا هاجر الخميسي أرغب بالتبليغ عن حادثة سرقة شقة تمت السرقة في تاريخ 44256 الوقت 09:45 في حي الملك فيصل شارع تركي الأول تمت سرقة جهاز منزلي بقيمة 37032 ريال سعودي
حادثة سرقة منزل,نايف الطاسان,27/09/2021,Monday,21:01,منزل,الرياض, الملقا, الملك عبد الله,ذهب,"النوع سبيكة, العيار ",نعم,غير معروف," $29,013.00 ",مجهول,نعم,معروف,نعم,سمراء,هندي,50+,لا,,أنا نايف الطاسان أرغب بالتبليغ عن حادثة سرقة منزل تمت السرقة في تاريخ 44466 الوقت 21:01 في حي الملقا شارع الملك عبد الله تمت سرقة ذهب بقيمة 29013 ريال سعودي
حادثة سرقة منزل,لطيفة الشلهوب,03/06/2021,Thursday,18:43,منزل,الرياض, أشبيلية, الملك خالد,مبلغ مادي,المبلغ 81996,لا,كسر الباب," $81,996.00 ",مجهول,لا,مجهول,لا,سمراء,بنقالي,27-32,نعم,,أنا لطيفة الشلهوب أرغب بالتبليغ عن حادثة سرقة منزل تمت السرقة في تاريخ 44350 الوقت 18:43 في حي أشبيلية شارع الملك خالد تمت سرقة مبلغ مادي بقيمة 81996 ريال سعودي
حادثة سرقة منزل,لطيفة القطحاني,09/08/2021,Monday,9:57,منزل,الرياض, الروضة, الأمير نايف بن عبد العزيز,مبلغ مادي,المبلغ 74130,لا,وجود مفتاح ," $74,130.00 ",مشكوك فيه,لا,معروف,نعم,سمراء,هندي,27-32,نعم,,أنا لطيفة القطحاني أرغب بالتبليغ عن حادثة سرقة منزل تمت السرقة في تاريخ 44417 الوقت 09:57 في حي الروضة شارع الأمير نايف بن عبد العزيز تمت سرقة مبلغ مادي بقيمة 74130 ريال سعودي
حادثة سرقة منزل,لطيفة القعود,16/02/2021,Tuesday,18:42,منزل,الرياض, الورود, المغيرة بن شعبة,جهاز منزلي,"النوع غسالة, اللون أسود",لا,غير معروف," $95,288.00 ",مجهول,نعم,معروف,لا,سمراء,هندي,50+,نعم,,أنا لطيفة القعود أرغب بالتبليغ عن حادثة سرقة منزل تمت السرقة في تاريخ 44243 الوقت 18:42 في حي الورود شارع المغيرة بن شعبة تمت سرقة جهاز منزلي بقيمة 95288 ريال سعودي
حادثة سرقة قصر,هند المالك,28/04/2021,Wednesday,1:30,قصر,الرياض, المرسلات, هشام بن عبد الملك,مبلغ مادي,المبلغ 78320,لا,غير معروف," $78,320.00 ",معروف,لا,مجهول,نعم,سمراء,غير معروف,21-26,لا,,أنا هند المالك أرغب بالتبليغ عن حادثة سرقة قصر تمت السرقة في تاريخ 44314 الوقت 01:30 في حي المرسلات شارع هشام بن عبد الملك تمت سرقة مبلغ مادي بقيمة 78320 ريال سعودي
حادثة سرقة استراحة,محمد الطاسان,28/07/2021,Wednesday,15:42,استراحة,الرياض, أشبيلية, المغيرة بن شعبة,مبلغ مادي,المبلغ 47131,نعم,تسلق الجدار," $47,131.00 ",مشكوك فيه,نعم,معروف,لا,حنطية,بنقالي,15-20,لا,,أنا محمد الطاسان أرغب بالتبليغ عن حادثة سرقة استراحة تمت السرقة في تاريخ 44405 الوقت 15:42 في حي أشبيلية شارع المغيرة بن شعبة تمت سرقة مبلغ مادي بقيمة 47131 ريال سعودي
حادثة سرقة منزل,سعد القطحاني,13/11/2021,Saturday,22:15,منزل,الرياض, الندى, هشام بن عبد الملك,مبلغ مادي,المبلغ 52321,نعم,غير معروف," $52,321.00 ",معروف,لا,مجهول,لا,بيضاء,غير معروف,21-26,نعم,,أنا سعد القطحاني أرغب بالتبليغ عن حادثة سرقة منزل تمت السرقة في تاريخ 44513 الوقت 22:15 في حي الندى شارع هشام بن عبد الملك تمت سرقة مبلغ مادي بقيمة 52321 ريال سعودي
حادثة سرقة قصر,تركي القعود,21/09/2021,Tuesday,3:03,قصر,الرياض, المروج, التخصصي,ذهب,"النوع سبيكة, العيار ",نعم,غير معروف," $16,510.00 ",مشكوك فيه,لا,مجهول,لا,سمراء,مصري,50+,لا,,أنا تركي القعود أرغب بالتبليغ عن حادثة سرقة قصر تمت السرقة في تاريخ 44460 الوقت 03:03 في حي المروج شارع التخصصي تمت سرقة ذهب بقيمة 16510 ريال سعودي
حادثة سرقة قصر,نايف المقرن,09/04/2021,Friday,12:57,قصر,الرياض, السليمانية, أبي بكر الصديق (الرياض),مبلغ مادي,المبلغ 95078,نعم,تسلق الجدار," $95,078.00 ",معروف,لا,معروف,نعم,حنطية,باكستاني,15-20,نعم,,أنا نايف المقرن أرغب بالتبليغ عن حادثة سرقة قصر تمت السرقة في تاريخ 44295 الوقت 12:57 في حي السليمانية شارع أبي بكر الصديق (الرياض) تمت سرقة مبلغ مادي بقيمة 95078 ريال سعودي
